provider,title,summary,url,published,relevant
naver,[속보] 펩트론 주가 장후 NXT서 상승폭 확대…12만원선 돌파,펩트론(087010)이 정규장 종료 이후 NXT 애프터마켓에서 상승폭을 키우며 12만원선을 넘어섰다. 24일 NXT 시장에서 펩트론은 오후 3시 47분 기준 12만1500원에 거래되며 정규장 종가(11만3300원) 대비 11.67% 오른 흐름을... ,https://www.cbci.co.kr/news/articleView.html?idxno=591677,2026-07-24,y
naver,"펩트론, 오송2공장 건축 변경허가 신청…연면적 2.5배 확대",펩트론 대전 본사 전경 (사진=펩트론) 펩트론(087010)은 오송바이오파크 제2공장의 생산시설과 지원시설 확충을 반영한 설계 변경을 위해 건축 변경허가를 신청했다고 24일 밝혔다. 변경안에 따르면 제2공장 연면적은 기존... ,https://www.edaily.co.kr/news/newspath.asp?newsid=04326326645517800,2026-07-24,y
naver,"펩트론 주가, 7월 24일 113,300원 4.14% 상승 마감","24일 KRX 마감 기준, 네이버페이 증권에 따르면 펩트론 주가가 지난 종가 대비 4,500원(4.14%) 상승한 113,300원으로 거래를 마쳤다. 이날 펩트론 주가는 시가 106,100원으로 시작하여 하루 동안 115,000원까지... ",https://www.topstarnews.net/news/articleView.html?idxno=16144821,2026-07-24,y
naver,"KBIOHealth, 충북대생 대상 바이오 부트캠프 성료","KBIOHealth는 GC셀, 펩트론 등 지역 기업과 전국 단위 바이오헬스 기업의 채용 연계 네트워크를 수료생들에게 제공한다는 방침이다. 참가 교육생은 ""강의로만 배우던 바이오의약품 생산 공정을 GMP 현장에서 직접 경험한... ",https://www.medigatenews.com/news/978299501,2026-07-24,y
naver,"[분석_바이오테크 ⑦펩트론] 최호일 대표의 펩트론, 매출보다 더 빨리 ...","약효지속성 의약품 플랫폼을 기반으로 성장 기대를 받아온 펩트론(대표이사 최호일)이 외형 성장에도... 금융수익 덕에 순손실 줄었지만 본업은 적자 심화 펩트론의 2025년 별도 기준 매출액은 56억3,000만 원으로 전년... ",http://www.newsworker.co.kr/news/articleView.html?idxno=438134,2026-07-24,y
naver,"펩트론 주가, 7월 24일 장중 106,200원 2.39% 하락","따르면 펩트론은 현재 106,200원에 거래되고 있으며, 지난 종가 108,800원 대비 2,600원(2.39%) 하락했다.... 현재 펩트론의 주가는 시가와 비슷한 수준을 유지하고 있다. 거래량은 80,208주이며, 거래대금은 85억... ",https://www.joongangenews.com/news/articleView.html?idxno=535142,2026-07-24,y
naver,[기자수첩] 비만치료제 '묻지마 경쟁' 안된다,"펩트론은 월 1회 투여 제형을 개발하며 차별화를 노린다. 일동제약과 종근당, 디앤디파마텍 역시 먹는 GLP-1 시장을 겨냥해 연구개발 속도를 높이고 있다. 비만치료제는 이제 일부 기업의 신사업이 아니다. K바이오 전체가... ",https://www.ebn.co.kr/news/articleView.html?idxno=1717652,2026-07-24,y
naver,올라갈 때 못 본… '공매도 돌부리'에 걸려버린 '광기' [오인경의 그·말...,"공매도 평가이익이 천억원을 초과하는 종목들은 대체로 제약·바이오(HLB, 펩트론, 알테오젠) 섹터와 2차 전지(LG에너지솔루션, 에코프로비엠, 에코프로, 엔켐) 업종에 집중되어 있다. 공매도로부터 거액의 평가이익을... ",http://www.newswell.co.kr/news/articleView.html?idxno=20523,2026-07-24,y
naver,[기자의 눈] 시장이 실망한 건 실패가 아니었다,펩트론도 기대와 현실의 간극을 드러냈다. 시장에서는 일라이릴리와의 공동연구가 비만치료제 마운자로의... 펩트론 측은 특정 상업화 제품 하나가 아니라 복수의 차세대 후보물질을 대상으로 연구가 진행되고 있다고... ,https://www.dailypharm.com/user/news/340768?REFERER=NP,2026-07-24,y
naver,코스닥 제약업종 톱50 외국인 주식 보유액 전년비 1.9조원↓,"HLB, 펩트론, 프레스티지바이오로직스 등 35개사는 감소했다. 외국인 주식 보유액 증가액에서는 7월... 감소, 펩트론은 1991억원 감소했다. 7월 23일 기준 외국인 주식 보유액을 살펴보면 휴젤이 1조... ",https://www.bosa.co.kr/news/articleView.html?idxno=3008916,2026-07-24,y
finnhub,"UNP Q2 Earnings & Revenues Beat Estimates, Up Y/Y, EPS View Raised","Union Pacific tops Q2 2026 earnings and revenue estimates as pricing gains, higher fuel surcharge revenue and volume growth lift results.",https://finnhub.io/api/news?id=7b256cbbefa562e0fa349550ff7fc467c6a0217fde74c35602115d7bc4e264f4,2026-07-23,n
finnhub,"CSX Q2 Earnings & Revenues Beat Estimates, Up Y/Y, EPS View Raised","CSX posts strong Q2 2026 beat, with EPS up 22.7% and revenues rising 10.1%, driven by volume, pricing and fuel surcharge gains despite coal export headwinds.",https://finnhub.io/api/news?id=3dbc68605e3dfb6d8da48f22d3401dbfee4bab3654a2172ea4dec7948f52ddb6,2026-07-23,n
finnhub,Westinghouse Air Brake Technologies (WAB) is a Great Momentum Stock: Should You Buy?,Does Westinghouse Air Brake Technologies (WAB) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finnhub.io/api/news?id=61da4d999ccf6945bbd8337876565cb52133049471952a040cff00adecf07621,2026-07-23,y
finnhub,"Zacks Earnings Trends Highlights: General Motors, AT&T, Wabtec and CME Group","S&P 500 companies are posting strong Q2 earnings and revenue beats, with results tracking at five-year highs early in the reporting season.",https://finnhub.io/api/news?id=9a424fa234510c1a719ff876f487c8b786ac228bb95df5918ebe471fcc7b3ac1,2026-07-23,n
finnhub,Is Westinghouse Air Brake Technologies Stock A Smart Buy Right Now?,"After a strong run to the top of its range, this rail technology giant offers investors a large order book, but you'll pay a premium price just as some of its core businesses face challenges.",https://finnhub.io/api/news?id=62ab355ccae5189da415cb7aa323b5cf27facab71134dfc92d574c1b623e15f4,2026-07-23,y
finnhub,Westinghouse Air Brake Technologies (WAB) Just Flashed Golden Cross Signal: Do You Buy?,Good things could be on the horizon when a stock surpasses the 20-day simple moving average. How should investors react?,https://finnhub.io/api/news?id=5b36697190c11ccf0b8c4edd44ae1af3275b7e0e9d5ee37182893051a0ebad98,2026-07-23,y
finnhub,Westinghouse Air Brake Technologies (WAB) Crossed Above the 50-Day Moving Average: What That Means for Investors,Good things could be on the horizon when a stock surpasses the 50-Day simple moving average. How should investors react?,https://finnhub.io/api/news?id=dd31c031576a7d8825fff6fa720180314282719f112a8b068d837d2a13afa64e,2026-07-23,y
finnhub,"Company News for July 23, 2026","Companies in The News Are: WAB, PM, CME, GEV",https://finnhub.io/api/news?id=e16ef0fd58fad28afb7cae27158357ca1375e6fad8ff5e0da077982293c78f9e,2026-07-23,y
finnhub,Trump’s Iran War and Tariffs Are Changing Corporate Strategies,"Stocks have spent months shrugging off geopolitical shocks, businesses are transforming to prepare for a more volatile world.",https://finnhub.io/api/news?id=907f28abe35f979441ffb5b0eba0ee9edf990499605ef84e64f776b74c770b7c,2026-07-23,n
finnhub,Markets Seem Desensitized to Trump’s Iran War and Tariffs but Companies Are Changing in Fundamental Ways,"While stocks shrug off oil shocks and global tariff turmoil, businesses are transforming to prepare for a more volatile world.",https://finnhub.io/api/news?id=ce7062302e8402a96306c8c45637bf7a00ed2e04d6ff96634c948fe414e5f316,2026-07-23,n
